날짜,SPX Index,SPXT Index,VOO US Equity,KBPMGO10 Index,148070 KS Equity
2007-03-14,1312610,2031770,#N/A N/A,168.7643,#N/A N/A
2007-03-15,1315010,2035570,#N/A N/A,168.6745,#N/A N/A
2007-03-16,1309830,2027560,#N/A N/A,169.0325,#N/A N/A
2007-03-19,1323050,2048030,#N/A N/A,168.87,#N/A N/A
2007-03-20,1328110,2055890,#N/A N/A,169.0055,#N/A N/A
2007-03-21,1346070,2083730,#N/A N/A,169.0276,#N/A N/A
2007-03-22,1345450,2082770,#N/A N/A,169.0502,#N/A N/A
2007-03-23,1346210,2083950,#N/A N/A,168.9602,#N/A N/A
2007-03-26,1347800,2086400,#N/A N/A,169.0253,#N/A N/A
2007-03-27,1343960,2080480,#N/A N/A,169.0732,#N/A N/A
2007-03-28,1331130,2061070,#N/A N/A,169.2977,#N/A N/A
2007-03-29,1337890,2071620,#N/A N/A,169.2055,#N/A N/A
2007-03-30,1336460,2069430,#N/A N/A,169.3417,#N/A N/A
2007-04-02,1335310,2067650,#N/A N/A,169.1799,#N/A N/A
2007-04-03,1346620,2085580,#N/A N/A,168.9742,#N/A N/A
2007-04-04,1347970,2087700,#N/A N/A,168.7689,#N/A N/A
2007-04-05,1346370,2085840,#N/A N/A,168.9036,#N/A N/A
2007-04-06,1346370,2085840,#N/A N/A,168.8124,#N/A N/A
2007-04-09,1347890,2088200,#N/A N/A,167.9756,#N/A N/A
2007-04-10,1352430,2095270,#N/A N/A,167.998,#N/A N/A
2007-04-11,1341680,2078840,#N/A N/A,167.7957,#N/A N/A
2007-04-12,1349710,2091320,#N/A N/A,167.749,#N/A N/A
2007-04-13,1349330,2090730,#N/A N/A,167.5561,#N/A N/A
2007-04-16,1366490,2117330,#N/A N/A,167.4634,#N/A N/A
2007-04-17,1367370,2118700,#N/A N/A,167.7099,#N/A N/A
2007-04-18,1367370,2118700,#N/A N/A,167.9572,#N/A N/A
2007-04-19,1366310,2117110,#N/A N/A,167.9799,#N/A N/A
2007-04-20,1376660,2133210,#N/A N/A,167.33,#N/A N/A
2007-04-23,1371710,2125580,#N/A N/A,167.734,#N/A N/A
2007-04-24,1372710,2127130,#N/A N/A,167.87,#N/A N/A
2007-04-25,1385880,2147740,#N/A N/A,167.8214,#N/A N/A
2007-04-26,1387780,2150900,#N/A N/A,167.731,#N/A N/A
2007-04-27,1388210,2151640,#N/A N/A,167.642,#N/A N/A
2007-04-30,1379340,2137890,#N/A N/A,167.4872,#N/A N/A
2007-05-01,1384490,2145870,#N/A N/A,167.5101,#N/A N/A
2007-05-02,1391950,2157680,#N/A N/A,167.8722,#N/A N/A
2007-05-03,1392720,2159490,#N/A N/A,168.123,#N/A N/A
2007-05-04,1396760,2165810,#N/A N/A,168.1876,#N/A N/A
2007-05-07,1393250,2160440,#N/A N/A,168.038,#N/A N/A
2007-05-08,1391550,2157980,#N/A N/A,167.7264,#N/A N/A
2007-05-09,1397820,2168290,#N/A N/A,167.4212,#N/A N/A
2007-05-10,1379610,2140390,#N/A N/A,167.4443,#N/A N/A
2007-05-11,1395540,2165340,#N/A N/A,167.5368,#N/A N/A
2007-05-14,1388530,2154580,#N/A N/A,167.4949,#N/A N/A
2007-05-15,1387850,2153720,#N/A N/A,167.5179,#N/A N/A
2007-05-16,1398990,2171650,#N/A N/A,167.4302,#N/A N/A
2007-05-17,1403980,2179590,#N/A N/A,167.0187,#N/A N/A
2007-05-18,1422320,2208070,#N/A N/A,166.8641,#N/A N/A
2007-05-21,1419110,2203080,#N/A N/A,166.827,#N/A N/A
2007-05-22,1420020,2204490,#N/A N/A,166.8503,#N/A N/A
